studentAnswer,R_errortype
"input_int = int(input())
# 请不要更改此行以上的代码

def palindrome(num):
    if num == 0:
        return 0# 在这里补全代码
    else:
        left = str(num) + '' # 在这里补全代码
        mid = str(palindrome(num-1)) + '' # 在这里补全代码 )
        right = str(num) +'' # 在这里补全代码
        
    
        return str(left) + str(mid) + str(right)
# 请不要更改此行以下的代码
print(palindrome(input_int))",No error
"input_int = int(input())
# 请不要更改此行以上的代码

def days_left_to_sunday(day):
    if day < 7:
        print(""还有"" + str(7 - day) + ""天到周日"")
        #在这里添加一行代码
        days_left_to_sunday(day+1)
    else:
        print(""到周日了!"")

# 请不要更改此行以下的代码
days_left_to_sunday(input_int)",No error
"x = int(input())
y = int(input())

print(x/y)

x = x/y

print = (x/y)

x = x/y

print = (x/y)
",No error
"age=input()
print('my age is '+ age)",No error
"x = int(input())
y = int(input())
z = int(input())
def smallest_among_three(x,y,z):
    if x<y and x<z:
        return(x)
    if y<x and y<z:
        return(y)
    if z<x and z<y:
        return(z)
print(smallest_among_three(x, y, z))",No error
"karma = int(input())
karma = karma + 1;
# 在这里填写代码

print(karma)",No error
"param = input()
def reverse_string(param):
    for i in range(len(param)-1, -1,-1):
        print(i)
    
# 在此处编写代码

reverse_string(param)",No error
"input_int = int(input())
input_int_2 = int(input())
input_int_3 = int(input())
# 请不要更改此行以上的代码

# 在这里编写代码
def create_matrix(input_int, input_int_2, input_int_3):
    list_1=[]
    val=input_int_3
    c=input_int_2
    r=input_int
    list_1.append(val)
    list_1=list_1*c
    list_2=list_1*r
    return list_2
# 请不要更改此行以下的代码
print(create_matrix(input_int, input_int_2, input_int_3))",No error
"num_cats = input()
num_dogs = input()
print(num_cats + num_dogs)
print()",No error
"test_param = input()
# 请不要更改此行以上的代码

# 在这里编写代码
score_dict = {'john':90, 'jane': 100, 'james': 0}
status_dict = {'john':'active', 'jane': 'active', 'james': 'inactive'}
# 请不要更改此行以下的代码
print(my_dict[test_param])",NameError
"input_dict = input()
input_dict = eval(input_dict)
# 请不要更改此行以上的代码
user_info = {}
def log_user(user_name):
    if user_name in user_info:
        user_info[user_name] += 1
    else:
        user_info[user_name] = 1
def print_user_log(user_name):
    if user_name in user_info:
        print(user_info[user_name])
    else:
        print(0)
# 在这里编写代码

# 请不要更改此行以下的代码
for i in input_dict['log']:
    log_user(i)
for i in input_dict['print']:
    print_user_log(i)",No error
"param = int(input())

# 在此处编写代码
def count_ones(param):
    count=0
    for 1 in param:
        count+=1
    return count
print(count_ones(param))",No error
