Class,Support,Threshold,TP,FP,FN,Precision,Recall,F1
AttributeError,22,0.1,16,306,6,0.0497,0.7273,0.093
AttributeError,22,0.15,13,45,9,0.2241,0.5909,0.325
AttributeError,22,0.2,12,26,10,0.3158,0.5455,0.4
AttributeError,22,0.25,10,18,12,0.3571,0.4545,0.4
AttributeError,22,0.3,7,13,15,0.35,0.3182,0.3333
AttributeError,22,0.35,5,9,17,0.3571,0.2273,0.2778
AttributeError,22,0.4,3,7,19,0.3,0.1364,0.1875
AttributeError,22,0.45,2,7,20,0.2222,0.0909,0.129
AttributeError,22,0.5,2,3,20,0.4,0.0909,0.1481
AttributeError,22,0.55,0,0,22,0.0,0.0,0.0
AttributeError,22,0.6,0,0,22,0.0,0.0,0.0
AttributeError,22,0.65,0,0,22,0.0,0.0,0.0
AttributeError,22,0.7,0,0,22,0.0,0.0,0.0
AttributeError,22,0.75,0,0,22,0.0,0.0,0.0
AttributeError,22,0.8,0,0,22,0.0,0.0,0.0
AttributeError,22,0.85,0,0,22,0.0,0.0,0.0
AttributeError,22,0.9,0,0,22,0.0,0.0,0.0
EOFError,53,0.1,45,474,8,0.0867,0.8491,0.1573
EOFError,53,0.15,42,111,11,0.2745,0.7925,0.4078
EOFError,53,0.2,36,44,17,0.45,0.6792,0.5414
EOFError,53,0.25,33,25,20,0.569,0.6226,0.5946
EOFError,53,0.3,29,11,24,0.725,0.5472,0.6237
EOFError,53,0.35,27,2,26,0.931,0.5094,0.6585
EOFError,53,0.4,21,2,32,0.913,0.3962,0.5526
EOFError,53,0.45,21,2,32,0.913,0.3962,0.5526
EOFError,53,0.5,17,1,36,0.9444,0.3208,0.4789
EOFError,53,0.55,10,1,43,0.9091,0.1887,0.3125
EOFError,53,0.6,6,1,47,0.8571,0.1132,0.2
EOFError,53,0.65,2,0,51,1.0,0.0377,0.0727
EOFError,53,0.7,0,0,53,0.0,0.0,0.0
EOFError,53,0.75,0,0,53,0.0,0.0,0.0
EOFError,53,0.8,0,0,53,0.0,0.0,0.0
EOFError,53,0.85,0,0,53,0.0,0.0,0.0
EOFError,53,0.9,0,0,53,0.0,0.0,0.0
IndexError,74,0.1,68,528,6,0.1141,0.9189,0.203
IndexError,74,0.15,62,151,12,0.2911,0.8378,0.4321
IndexError,74,0.2,51,66,23,0.4359,0.6892,0.534
IndexError,74,0.25,50,43,24,0.5376,0.6757,0.5988
IndexError,74,0.3,45,32,29,0.5844,0.6081,0.596
IndexError,74,0.35,41,24,33,0.6308,0.5541,0.5899
IndexError,74,0.4,33,13,41,0.7174,0.4459,0.55
IndexError,74,0.45,25,8,49,0.7576,0.3378,0.4673
IndexError,74,0.5,15,3,59,0.8333,0.2027,0.3261
IndexError,74,0.55,11,1,63,0.9167,0.1486,0.2558
